compound,Name,Formula,CAS,MolWeight,Tc,Pc,Vc,Zc,Acentric factor
284,3-Pentanone,C5H10O,96-22-0,86.1323,560.95,3.74,0.336,0.269,0.344846
285,1-Pentene,C5H10,109-67-1,70.1329,464.8,3.56,0.2934,0.27,0.237218
286,2-Pentyl mercaptan,C5H12S,2084-19-7,104.21378,584.3,3.536,0.385,0.28,0.26853
287,Pentyl mercaptan,C5H12S,110-66-7,104.21378,598.0,3.47,0.359,0.251,0.320705
288,1-Pentyne,C5H8,627-19-0,68.11702,481.2,4.17,0.277,0.289,0.289925
289,2-Pentyne,C5H8,627-21-4,68.11702,519.0,4.03,0.276,0.258,0.175199
290,Phenanthrene,C14H10,85-01-8,178.2292,869.0,2.9,0.554,0.222,0.470716
291,Phenol,C6H6O,108-95-2,94.11124,694.25,6.13,0.229,0.243,0.44346
292,Phenyl isocyanate,C7H5NO,103-71-9,119.1207,653.0,4.06,0.37,0.277,0.412323
293,Phthalic anhydride,C8H4O3,85-44-9,148.11556,791.0,4.72,0.421,0.302,0.702495
294,Propadiene,C3H4,463-49-0,40.06386,394.0,5.25,0.165,0.264,0.104121
295,Propane,C3H8,74-98-6,44.09562,369.83,4.248,0.2,0.276,0.152291
296,1-Propanol,C3H8O,71-23-8,60.09502,536.8,5.169,0.219,0.254,0.6209
297,2-Propanol,C3H8O,67-63-0,60.095,508.3,4.765,0.222,0.25,0.663
298,Propenylcyclohexene,C9H14,13511-13-2,122.20746,636.0,3.12,0.437,0.258,0.341975
299,Propionaldehyde,C3H6O,123-38-6,58.07914,503.6,5.038,0.204,0.246,0.281254
300,Propionic acid,C3H6O2,79-09-4,74.0785,600.81,4.668,0.235,0.22,0.579579
301,Propionitrile,C3H5N,107-12-0,55.0785,561.3,4.26,0.242,0.221,0.350057
302,Propyl acetate,C5H10O2,109-60-4,102.1317,549.73,3.36,0.345,0.254,0.388902
303,Propyl amine,C3H9N,107-10-8,59.11026,496.95,4.74,0.26,0.298,0.279839
304,Propylbenzene,C9H12,103-65-1,120.19158,638.35,3.2,0.44,0.265,0.344391
305,Propylene,C3H6,115-07-1,42.07974,364.85,4.6,0.185,0.281,0.137588
306,Propyl formate,C4H8O2,110-74-7,88.10512,538.0,4.02,0.285,0.256,0.308779
307,2-Propyl mercaptan,C3H8S,75-33-2,76.16062,517.0,4.75,0.254,0.281,0.21381
308,Propyl mercaptan,C3H8S,107-03-9,76.16062,536.6,4.63,0.254,0.264,0.231789
309,"1,2-Propylene glycol",C3H8O2,57-55-6,76.09442,626,6.1,0.239,0.28,1.10651
310,Quinone,C6H4O2,106-51-4,108.09476,683.0,5.96,0.291,0.305,0.494515
311,Silicon tetrafluoride,F4Si,7783-61-1,104.07911,259.0,3.72,0.202,0.349,0.38584
312,Styrene,C8H8,100-42-5,104.14912,636.0,3.84,0.352,0.256,0.297097
313,Succinic acid,C4H6O4,110-15-6,118.08804,838.0,5.0,0.33,0.237,0.743044
314,Sulfur dioxide,O2S,7446-09-5,64.0638,430.75,7.8841,0.122,0.269,0.245381
315,Sulfur hexafluoride,F6S,2551-62-4,146.0554192,318.69,3.76,0.19852,0.282,0.215146
316,Sulfur trioxide,O3S,7446-11-9,80.0632,490.85,8.21,0.127,0.255,0.42396
317,Terephthalic acid,C8H6O4,100-21-0,166.13084,883.6,3.486,0.424,0.201,0.94695
318,o-Terphenyl,C18H14,84-15-1,230.30376,857.0,2.99,0.731,0.307,0.551265
319,Tetradecane,C14H30,629-59-4,198.388,693.0,1.57,0.897,0.244,0.643017
320,Tetrahydrofuran,C4H8O,109-99-9,72.10572,540.15,5.19,0.224,0.259,0.225354
321,"1,2,3,4-Tetrahydronaphthalene",C10H12,119-64-2,132.20228,720.0,3.65,0.408,0.249,0.335255
322,Tetrahydrothiophene,C4H8S,110-01-0,88.17132,631.95,5.16,0.249,0.245,0.199551
323,"2,2,3,3-Tetramethylbutane",C8H18,594-82-1,114.22852,568.0,2.87,0.461,0.28,0.244953
324,Thiophene,C4H4S,110-02-1,84.13956,579.35,5.69,0.219,0.259,0.196972
325,Toluene,C7H8,108-88-3,92.13842,591.75,4.108,0.316,0.264,0.264012
326,"1,1,2-Trichloroethane",C2H3Cl3,79-00-5,133.40422,602.0,4.48,0.281,0.252,0.259135
327,Tridecane,C13H28,629-50-5,184.36142,675.0,1.68,0.826,0.247,0.617397
328,Triethyl amine,C6H15N,121-44-8,101.19,535.15,3.04,0.39,0.266,0.316193
329,Trimethyl amine,C3H9N,75-50-3,59.11026,433.25,4.07,0.254,0.287,0.206243
330,"1,2,3-Trimethylbenzene",C9H12,526-73-8,120.19158,664.5,3.454,0.414,0.259,0.366553
331,"1,2,4-Trimethylbenzene",C9H12,95-63-6,120.19158,649.1,3.232,0.43,0.258,0.37871
332,"2,2,4-Trimethylpentane",C8H18,540-84-1,114.22852,543.8,2.57,0.468,0.266,0.303455
333,"2,3,3-Trimethylpentane",C8H18,560-21-4,114.22852,573.5,2.82,0.455,0.269,0.2903
334,"1,3,5-Trinitrobenzene",C6H3N3O6,99-35-4,213.10452,846.0,3.39,0.479,0.231,0.862257
335,"2,4,6-Trinitrotoluene",C7H5N3O6,118-96-7,227.1311,828.0,3.04,0.572,0.253,0.897249
336,Undecane,C11H24,1120-21-4,156.30826,639.0,1.95,0.685,0.252,0.530316
337,1-Undecanol,C11H24O,112-42-5,172.30766,703.9,2.119,0.715,0.259,0.623622
338,Vinyl acetate,C4H6O2,108-05-4,86.08924,519.13,3.958,0.27,0.248,0.351307
339,Vinyl acetylene,C4H4,689-97-4,52.07456,454.0,4.86,0.205,0.264,0.106852
340,Vinyl chloride,C2H3Cl,75-01-4,62.49822,432.0,5.67,0.179,0.283,0.100107
341,Vinyl trichlorosilane,C2H3Cl3Si,75-94-5,161.48972,543.15,3.06,0.408,0.276,0.281543
342,Water,H2O,7732-18-5,18.01528,647.096,22.064,0.0559472,0.229,0.344861
343,m-Xylene,C8H10,108-38-3,106.165,617.0,3.541,0.375,0.259,0.326485
344,o-Xylene,C8H10,95-47-6,106.165,630.3,3.732,0.37,0.264,0.31013
345,p-Xylene,C8H10,106-42-3,106.165,616.2,3.511,0.378,0.259,0.321839
